back_rows,counter,block_notice,session_typy_block,NO,block,session_typy,numbers_v,corr_respond_v,numbers_a,corr_respond_a,trials_all.thisRepN,trials_all.thisTrialN,trials_all.thisN,trials_all.thisIndex,trials_rows.thisRepN,trials_rows.thisTrialN,trials_rows.thisN,trials_rows.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_loop.thisRepN,nasa_loop.thisTrialN,nasa_loop.thisN,nasa_loop.thisIndex,thisRow.t,notes,instructions.started,instructionsTxt.started,fix_stimulus_2.started,fix_stimulus_2.stopped,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,n_choose.started,dual_box.started,dual_box.stopped,model_choosing.started,sa_img.started,dual_img.started,sv_img.started,sa_text.started,dual_text.started,sv_text.started,sa_t.started,sv_t.started,dual_t.started,n_choose.stopped,model_choosing.x,model_choosing.y,model_choosing.leftButton,model_choosing.midButton,model_choosing.rightButton,model_choosing.clicked_name,block_notice.started,notice_textbox.started,text_2.started,text_2.stopped,key_resp_3.started,block_notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,fixation.started,fix.started,frame_fix.started,key_not_left_2.started,key_not_right_2.started,fix.stopped,frame_fix.stopped,key_not_left_2.stopped,key_not_right_2.stopped,fixation.stopped,stimulus_setting.started,stimulus_setting.stopped,trial.started,trial_counter_2.started,trial_counter_2.stopped,fix_stimulus.started,key_resp_v.started,stimulus_block.started,frame_trial.started,key_not_left.started,key_not_right.started,stimulus_block.stopped,trial.stopped,key_resp_v.keys,verval_resp_a.clip,feedback.started,trial_counter_f.started,trial_counter_f.stopped,fix_stimulus_feedback.started,fix_stimulus_feedback.stopped,frame_trial_2.started,frame_trial_2.stopped,feedback.stopped,RT_visual,trial-state_adudio,correct_visual,correct_visual_target,correct_visual_none-target,trial-state_visual,Block_name,Session,key_resp_v.rt,key_resp_v.duration,oral_resp_a.rt,oral_resp_a.keys,length_original_audio,end_block.started,key_resp_2.started,end_block_message.started,end_block_message.stopped,end_block.stopped,key_resp_2.keys,NASA.started,form.started,mouse_4.started,nasa_title.started,NASA.stopped,form.index,form.itemText,form.type,form.font,form.markerColor,form.response,form.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,scale_sub_box.started,stimulus_audio.started,verval_resp_a.started,key_resp_2.rt,key_resp_2.duration,end.started,text.started,key_resp_4.started,end.stopped,key_resp_4.keys,Group,ID,First_Language,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 153
168:210,1/2,2-,single,178.0,1/2,single,2.0,a,2.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,,,,,99.27520549998736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1570628999907,99.1571927999903,99.15720169999986,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.27520549998736,99.77554060000692,101.64464479999153,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.10.337.wav,101.64517559998784,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,101.74387760000536,534.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,0.5343060999875888,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,179.0,1/2,single,6.0,a,1.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,,,,,101.86112859999412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.74413539998932,101.7442677000072,101.7442766999884,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,101.86112859999412,102.3614430000016,104.2305456000031,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.12.923.wav,104.23108669999056,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.32630270000664,929.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,0.9290893000143114,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,180.0,1/2,single,2.0,l,3.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,,,,,104.43165270000463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.32655959998374,104.32670279999728,104.32671229998232,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.43165270000463,104.93295919999946,106.81907050000154,l,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.15.511.wav,106.81956340000032,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,106.91128959998603,724.0,Audio OUT!,1.0,1.0,0.0,target,1/2,sv_t,0.7237129999848548,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,181.0,1/2,single,1.0,a,1.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,,,,,107.01763449999272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.91154939998523,106.91168839999592,106.91169730000549,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,107.01763449999272,107.51888109999707,109.40485530000296,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.18.097.wav,109.4053600000043,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,109.50011289998656,1131.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,1.1313745999941602,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,182.0,1/2,single,5.0,a,3.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,,,,,109.61876660000416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5003722999827,109.50051829998849,109.50052750000032,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,109.61876660000416,110.11920459999236,111.9909492000006,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.20.683.wav,111.99145979998866,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.08301519998348,1626.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,1.6255299000185914,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,183.0,1/2,single,4.0,a,2.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,,,,,112.18839189998108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.08327529998496,112.08341479999945,112.08342569999512,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.18839189998108,112.69073519998346,114.5767610000039,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.23.269.wav,114.57726649998222,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,114.67184279998764,1643.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,1.6425711000047158,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,184.0,1/2,single,5.0,l,3.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,,,,,114.7906999999832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.67213130000164,114.67228589998558,114.6722969999828,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,114.7906999999832,115.29102069998044,117.16029279999202,l,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.25.853.wav,117.16083269999945,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.25270739998086,898.0,Audio OUT!,1.0,1.0,0.0,target,1/2,sv_t,0.8982197000004817,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,185.0,1/2,single,4.0,l,6.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,,,,,117.3765362999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.25299639999866,117.25315390000468,117.25316480000038,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.3765362999984,117.87694839999313,119.74600569999892,l,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.28.438.wav,119.7465028000006,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,119.8418260999897,1591.0,Audio OUT!,1.0,1.0,0.0,target,1/2,sv_t,1.591031899995869,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,186.0,1/2,single,3.0,a,1.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,,,,,119.94817950000288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8420863999927,119.84223320000456,119.84224189998348,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,119.94817950000288,120.44859369998449,122.33470149998902,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.31.027.wav,122.33547659998294,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,122.42716689998632,1173.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,1.1726807999948503,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
168:210,1/2,2-,single,187.0,1/2,single,7.0,a,6.0,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,,,,,122.5330175999843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.42745379998814,122.42761230000178,122.42762189998756,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,122.5330175999843,123.03505659999792,124.92084679999972,a,C:\Users\lujun\Desktop\01_n_back\data/N_6_n_back_2_2025-01-02_15h32.07.781_verval_resp_a_recorded\recording_verval_resp_a_2025-01-02_15h34.33.613.wav,124.92156620000604,125.13459339999828,125.13459339999828,125.13459339999828,125.13459339999828,125.13459339999828,125.13459339999828,125.01676070000394,960.0,Audio OUT!,1.0,0.0,1.0,non-target,1/2,sv_t,0.95959959999891,,0.001,UNKNOWN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,普通话,2025-01-02_15h32.07.781,n_back_2,2023.2.1,59.72192277931209,2025-01-02 15h32.28.701998 +0800,
